pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
6422876,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3761342,2,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
9305156,2,9,1,1,2,1,2,15,0,5,6,1,9,12,75000,75000
8504893,2,9,2,1,2,2,2,0,0,0,0,1,9,0,0,0
5029954,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1976228,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
4037219,2,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
4280814,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5634917,2,9,2,1,1,2,2,0,0,0,0,1,9,0,25000,25000
5971049,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1403275,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6652737,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6199188,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6795613,2,9,2,2,2,2,2,20,30,50,0,1,9,0,0,0
5130220,2,9,2,1,2,1,2,0,0,0,0,1,9,0,0,0
9355580,2,9,2,1,1,1,1,0,0,0,0,1,9,0,75000,75000
9547519,0,9,1,2,2,2,2,0,0,0,0,9,2,0,0,0
1015757,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2836384,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4723284,2,9,2,1,1,2,2,0,0,0,0,2,9,0,25000,25000
2803192,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8777986,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2412394,2,9,2,1,2,2,2,0,0,0,0,1,9,0,0,0
3401523,2,9,2,1,2,2,2,0,0,0,2,1,9,0,50000,50000
7636851,2,9,1,1,2,2,2,15,0,4,2,1,9,8,0,0
1700270,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8014771,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5808485,2,9,2,1,2,2,2,6,0,2,1,1,9,0,0,0
5503902,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7865236,2,9,1,1,2,2,2,12,0,2,0,1,9,12,50000,50000
1096884,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5315890,2,9,1,1,2,1,2,0,0,0,0,1,9,0,50000,50000
